time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1628062054.75862265,0.10424579,10902,0.02823909,0.00000000,0,0.00000000,0,6808,3246,0.00000000
1628062054.85883665,0.04761725,10925,0.01478573,0.00000000,0,0.00000000,0,8192,2421,0.04478081
1628062054.95900846,0.06066611,10958,0.02384071,0.00000000,0,0.00000000,0,10114,3033,0.01024844
1628062055.05919981,0.10877572,11057,0.03963744,0.00000000,0,0.00000000,0,11988,2978,0.00971830
1628062055.15984964,0.09218235,10965,0.03011254,0.00000000,0,0.00000000,0,14268,3462,0.02700750
1628062055.25961399,0.07042633,11077,0.01438843,0.00000000,0,0.00000000,0,16399,3405,0.01645190
1628062055.36007833,0.07009590,11064,0.01272214,0.00000000,0,0.00000000,0,18554,2881,0.01669020
1628062055.45998144,0.09968664,11110,0.02965375,0.00000000,0,0.00000000,0,20298,2874,0.01186503
1628062055.56027031,0.07066098,11189,0.03076283,0.00000000,0,0.00000000,0,22082,3167,0.02324851
1628062055.66034937,0.10326581,11232,0.03127585,0.00000000,0,0.00000000,0,23883,3063,0.02059112
1628062055.76068258,0.10224434,11151,0.03342984,0.00000000,0,0.00000000,0,25162,2650,0.01042582
1628062055.86074352,0.10257024,11168,0.02336856,0.00000000,0,0.00000000,0,26254,2377,0.01573429
1628062055.96132898,0.09859383,11198,0.02680405,0.00000000,0,0.00000000,0,27072,2458,0.02030389
1628062056.06113195,0.09351236,11216,0.01916140,0.00000000,0,0.00000000,0,27976,2567,0.01593734
1628062056.16132402,0.10793215,11256,0.02736159,0.00000000,0,0.00000000,0,28840,2259,0.01976886
1628062056.26150107,0.08899686,11190,0.02633715,0.00000000,0,0.00000000,0,29868,2173,0.02839114
1628062056.36366987,0.08066405,11212,0.02147498,0.00000000,0,0.00000000,0,30553,1592,0.01490425
1628062056.46187544,0.07752697,11183,0.01753244,0.00000000,0,0.00000000,0,31252,1349,0.01717067
1628062056.56238127,0.07996082,11150,0.01333958,0.00000000,0,0.00000000,0,31914,1189,0.01276131
1628062056.66227698,0.10128433,11101,0.01507077,0.00000000,0,0.00000000,0,31604,1290,0.01800516
1628062056.76247811,0.09402204,11154,0.01777126,0.00000000,0,0.00000000,0,32150,1077,0.02053884
1628062056.86263609,0.09088394,11188,0.00979856,0.00000000,0,0.00000000,0,32865,1150,0.01818677
1628062056.96287727,0.08841141,11123,0.01315315,0.00000000,0,0.00000000,0,33492,1324,0.01079804
1628062057.06305838,0.10304824,11138,0.02594367,0.00000000,0,0.00000000,0,34132,1575,0.00764303
1628062057.16330576,0.10471229,11012,0.02894769,0.00000000,0,0.00000000,0,34210,1198,0.02654867
1628062057.26340890,0.07193636,11120,0.01431595,0.00000000,0,0.00000000,0,34886,1174,0.01904373
1628062057.36441231,0.06821982,11172,0.01405786,0.00000000,0,0.00000000,0,35372,1262,0.01784466
1628062057.46380615,0.09824279,11045,0.02261766,0.00000000,0,0.00000000,0,35972,1404,0.01872715
1628062057.56397438,0.11768494,10954,0.03424322,0.00000000,0,0.00000000,0,36579,1956,0.01706360
1628062057.66420698,0.11738663,11093,0.03686793,0.00000000,0,0.00000000,0,37600,2399,0.01249332
1628062057.76468682,0.06259409,11027,0.01673279,0.00000000,0,0.00000000,0,38175,2520,0.01134143
1628062057.86455870,0.11797304,10988,0.03833817,0.00000000,0,0.00000000,0,39216,2694,0.01853914
1628062057.96474528,0.12469172,11002,0.03717838,0.00000000,0,0.00000000,0,40426,2584,0.01446256
1628062058.06493759,0.08710855,11000,0.01383121,0.00000000,0,0.00000000,0,39199,2158,0.01572284
