time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1627643483.21464157,0.04203254,11577,0.00490553,0.00000000,0,0.00000000,0,1408,574,0.00000000
1627643483.31463218,0.02934246,11653,0.00254350,0.00000000,0,0.00000000,0,1431,387,0.01837629
1627643483.41508341,0.01504413,11577,0.00343887,0.00000000,0,0.00000000,0,1643,531,0.00929247
1627643483.51502895,0.01241847,11506,0.00488299,0.00000000,0,0.00000000,0,1634,626,0.01207944
1627643483.61593175,0.01907106,11525,0.00201562,0.00000000,0,0.00000000,0,1971,552,0.02044273
1627643483.71542740,0.02841863,11607,0.00348415,0.00000000,0,0.00000000,0,2191,427,0.02328885
1627643483.81589603,0.01518364,11612,0.00274257,0.00000000,0,0.00000000,0,2368,429,0.01429121
1627643483.91580153,0.02983116,11601,0.00402888,0.00000000,0,0.00000000,0,2436,392,0.00552138
1627643484.01599693,0.03010584,11558,0.00278956,0.00000000,0,0.00000000,0,2522,336,0.00669973
1627643484.11624098,0.01875149,11639,0.00286603,0.00000000,0,0.00000000,0,2547,344,0.01463024
1627643484.21639490,0.01491939,11515,0.00300580,0.00000000,0,0.00000000,0,2499,404,0.00876024
1627643484.31680536,0.01362213,11658,0.00246414,0.00000000,0,0.00000000,0,2533,430,0.00949914
1627643484.41680050,0.01334775,11714,0.00223043,0.00000000,0,0.00000000,0,2669,368,0.02723284
1627643484.51729584,0.01920778,11537,0.00165522,0.00000000,0,0.00000000,0,2780,278,0.01006569
1627643484.61718917,0.03162263,11652,0.00248492,0.00000000,0,0.00000000,0,2797,264,0.00649785
1627643484.71752477,0.03082180,11558,0.00187292,0.00000000,0,0.00000000,0,2849,228,0.00621585
1627643484.81821442,0.03124199,11561,0.00199165,0.00000000,0,0.00000000,0,2768,197,0.00722074
1627643484.91778851,0.01385490,11614,0.00112268,0.00000000,0,0.00000000,0,2785,159,0.01222539
1627643485.01837349,0.01280097,11644,0.00072093,0.00000000,0,0.00000000,0,2840,213,0.01888465
1627643485.11823630,0.02099704,11652,0.00132480,0.00000000,0,0.00000000,0,2861,212,0.02116578
1627643485.21880627,0.01855573,11653,0.00194657,0.00000000,0,0.00000000,0,2904,232,0.01467982
1627643485.31915522,0.03636378,11651,0.00675350,0.00000000,0,0.00000000,0,2879,257,0.00704627
1627643485.41877961,0.03262711,11661,0.00316948,0.00000000,0,0.00000000,0,2896,136,0.00645333
1627643485.51897264,0.03259844,11740,0.00416379,0.00000000,0,0.00000000,0,2919,131,0.00997476
1627643485.61920047,0.03083414,11648,0.00149318,0.00000000,0,0.00000000,0,2974,144,0.01346478
1627643485.71936512,0.01210373,11599,0.00125049,0.00000000,0,0.00000000,0,2991,172,0.01219578
1627643485.81953049,0.00982109,11727,0.00072377,0.00000000,0,0.00000000,0,3061,190,0.02296016
1627643485.91978931,0.03278532,11662,0.00263578,0.00000000,0,0.00000000,0,3023,288,0.02020143
1627643486.02217197,0.01522930,11709,0.00124810,0.00000000,0,0.00000000,0,3063,304,0.00906910
1627643486.12011623,0.03343459,11656,0.00512629,0.00000000,0,0.00000000,0,3123,399,0.00652121
1627643486.22078800,0.03097476,11783,0.00297311,0.00000000,0,0.00000000,0,3183,338,0.00906515
1627643486.32050514,0.01288499,11832,0.00091546,0.00000000,0,0.00000000,0,3289,320,0.00834405
1627643486.42110252,0.01292072,11824,0.00088662,0.00000000,0,0.00000000,0,3357,311,0.01470331
1627643486.52090359,0.01100135,11745,0.00103863,0.00000000,0,0.00000000,0,3409,325,0.01347496
1627643486.62111282,0.02612109,11815,0.00323808,0.00000000,0,0.00000000,0,3362,301,0.01245441
1627643486.72167683,0.04039022,11807,0.00386313,0.00000000,0,0.00000000,0,3469,270,0.01263399
1627643486.82150078,0.03478336,11898,0.00545217,0.00000000,0,0.00000000,0,3552,285,0.00709448
1627643486.92307091,0.02992298,11898,0.00306910,0.00000000,0,0.00000000,0,3633,286,0.00704171
1627643487.02327061,0.02090574,11974,0.00286622,0.00000000,0,0.00000000,0,3655,283,0.01569380
1627643487.12224984,0.01172607,12028,0.00106965,0.00000000,0,0.00000000,0,3696,280,0.01679714
1627643487.22227144,0.01228944,12119,0.00183311,0.00000000,0,0.00000000,0,3700,314,0.01422305
1627643487.32247090,0.03431605,12145,0.00241163,0.00000000,0,0.00000000,0,3743,238,0.01085797
1627643487.42331982,0.02418338,12143,0.00223579,0.00000000,0,0.00000000,0,3828,253,0.00811557
1627643487.52549839,0.03336082,11970,0.00287387,0.00000000,0,0.00000000,0,3842,181,0.00724452
1627643487.62306094,0.04030238,11761,0.00378271,0.00000000,0,0.00000000,0,3827,195,0.00572865
1627643487.72333670,0.01276456,11484,0.00105540,0.00000000,0,0.00000000,0,3862,167,0.00797799
1627643487.82566571,0.01515719,11493,0.00329740,0.00000000,0,0.00000000,0,3783,241,0.01517198
1627643487.92390156,0.02041709,11259,0.00198829,0.00000000,0,0.00000000,0,3828,229,0.01885501
1627643488.02388048,0.03622050,11186,0.00257126,0.00000000,0,0.00000000,0,3915,241,0.02087931
1627643488.12488127,0.01957065,11025,0.00209086,0.00000000,0,0.00000000,0,3987,276,0.00580631
1627643488.22438049,0.01968462,11067,0.00265952,0.00000000,0,0.00000000,0,4025,244,0.00570303
1627643488.32468796,0.02976495,10740,0.00537943,0.00000000,0,0.00000000,0,4056,174,0.01305437
1627643488.42462158,0.00905965,10712,0.00064478,0.00000000,0,0.00000000,0,4067,176,0.00705075
1627643488.52524424,0.01475231,10820,0.00066701,0.00000000,0,0.00000000,0,4118,173,0.01105359
1627643488.62500906,0.01368736,10664,0.00141951,0.00000000,0,0.00000000,0,4181,243,0.00945070
1627643488.72521353,0.01277668,10792,0.00204659,0.00000000,0,0.00000000,0,4335,406,0.00880922
1627643488.82612801,0.01355154,10679,0.00224594,0.00000000,0,0.00000000,0,4436,374,0.00580780
1627643488.92560625,0.01327356,10680,0.00154099,0.00000000,0,0.00000000,0,4479,245,0.00534683
1627643489.02579355,0.01376473,10681,0.00109480,0.00000000,0,0.00000000,0,4445,262,0.00720795
1627643489.12599134,0.02132061,10683,0.00152414,0.00000000,0,0.00000000,0,4488,228,0.01192017
1627643489.22618294,0.01816082,10544,0.00187625,0.00000000,0,0.00000000,0,4467,311,0.00796684
1627643489.32639647,0.02164580,10685,0.00113526,0.00000000,0,0.00000000,0,4397,371,0.00648505
1627643489.42657948,0.01808191,10644,0.00212896,0.00000000,0,0.00000000,0,4470,397,0.00633935
1627643489.52677250,0.02265461,10562,0.00243412,0.00000000,0,0.00000000,0,4537,390,0.01679808
1627643489.62696481,0.01083253,10479,0.00066083,0.00000000,0,0.00000000,0,4561,230,0.01842113
1627643489.72823834,0.03225863,10602,0.00410947,0.00000000,0,0.00000000,0,4593,275,0.01476284
1627643489.82745576,0.04035423,10603,0.00588000,0.00000000,0,0.00000000,0,4645,234,0.00956888
1627643489.92763138,0.01002160,10402,0.00179593,0.00000000,0,0.00000000,0,4700,377,0.01006333
1627643490.02802420,0.02723079,10377,0.00414565,0.00000000,0,0.00000000,0,4739,404,0.00602450
1627643490.12828970,0.01414240,10344,0.00255677,0.00000000,0,0.00000000,0,4742,468,0.00752833
1627643490.22814894,0.01244968,10497,0.00184428,0.00000000,0,0.00000000,0,4805,517,0.01364636
1627643490.33674073,0.01253868,10484,0.00107114,0.00000000,0,0.00000000,0,4907,475,0.01020873
1627643490.42853975,0.03406735,10603,0.00653793,0.00000000,0,0.00000000,0,5078,477,0.00819176
1627643490.52872753,0.02272629,10527,0.00215929,0.00000000,0,0.00000000,0,4575,397,0.00770738
1627643490.63131738,0.02167009,10291,0.00251911,0.00000000,0,0.00000000,0,4679,382,0.00543585
1627643490.72912550,0.01036109,10382,0.00077694,0.00000000,0,0.00000000,0,4771,360,0.00692069
1627643490.82995510,0.01098282,10477,0.00158687,0.00000000,0,0.00000000,0,4853,405,0.00789111
1627643490.92972255,0.01272105,10362,0.00106265,0.00000000,0,0.00000000,0,4907,333,0.01448257
1627643491.02971435,0.01500726,10460,0.00177650,0.00000000,0,0.00000000,0,4945,283,0.01372147
1627643491.12990904,0.02062361,10583,0.00177167,0.00000000,0,0.00000000,0,4978,188,0.00772361
1627643491.23010516,0.02709450,10642,0.00196832,0.00000000,0,0.00000000,0,5046,217,0.00596255
1627643491.33031487,0.02996585,10529,0.00251231,0.00000000,0,0.00000000,0,5133,252,0.01056531
1627643491.43068051,0.01057092,10369,0.00072323,0.00000000,0,0.00000000,0,5136,326,0.01487295
1627643491.53069353,0.01022393,10438,0.00128119,0.00000000,0,0.00000000,0,5171,330,0.01211626
1627643491.63089800,0.02181829,10084,0.00381537,0.00000000,0,0.00000000,0,5186,335,0.01534326
1627643491.73109174,0.03018325,9943,0.00313753,0.00000000,0,0.00000000,0,5271,404,0.02117618
1627643491.83127785,0.01532059,9909,0.00246471,0.00000000,0,0.00000000,0,5255,369,0.00744695
1627643491.93147373,0.03503094,9997,0.00337505,0.00000000,0,0.00000000,0,5309,359,0.00569559
1627643492.03173137,0.01342561,9939,0.00057785,0.00000000,0,0.00000000,0,5350,246,0.01022474
1627643492.13365197,0.01010419,9686,0.00147774,0.00000000,0,0.00000000,0,5395,205,0.02090837
1627643492.23209286,0.01149838,9747,0.00083438,0.00000000,0,0.00000000,0,5409,167,0.01165430
1627643492.33225870,0.02871234,9598,0.00327329,0.00000000,0,0.00000000,0,5418,150,0.01373010
1627643492.43246460,0.02605145,9782,0.00160454,0.00000000,0,0.00000000,0,5420,185,0.00964516
1627643492.53265572,0.03596548,9674,0.00598854,0.00000000,0,0.00000000,0,5383,204,0.00559566
1627643492.63287830,0.02085545,9797,0.00217865,0.00000000,0,0.00000000,0,5415,331,0.00703694
1627643492.73309565,0.00884588,9791,0.00050815,0.00000000,0,0.00000000,0,5443,244,0.00920122
1627643492.83489370,0.01217677,10062,0.00137620,0.00000000,0,0.00000000,0,5448,185,0.01307525
1627643492.93343496,0.01804860,10129,0.00202876,0.00000000,0,0.00000000,0,5410,125,0.01628932
1627643493.03364515,0.04195517,10301,0.00257067,0.00000000,0,0.00000000,0,5393,108,0.01323917
1627643493.13429236,0.01300109,10459,0.00035512,0.00000000,0,0.00000000,0,5388,98,0.00798207
1627643493.23401690,0.03560400,10734,0.00241115,0.00000000,0,0.00000000,0,5386,124,0.00670883
1627643493.33437490,0.02196885,11152,0.00216051,0.00000000,0,0.00000000,0,5384,180,0.01132600
1627643493.43499231,0.01174589,11436,0.00191109,0.00000000,0,0.00000000,0,5388,301,0.01009166
1627643493.53576422,0.01211946,11612,0.00057855,0.00000000,0,0.00000000,0,5417,229,0.00789408
1627643493.63568282,0.02434058,11511,0.00207473,0.00000000,0,0.00000000,0,5429,325,0.01553730
1627643493.73589826,0.01092372,11616,0.00061303,0.00000000,0,0.00000000,0,5466,293,0.00754392
1627643493.83519197,0.03780006,11604,0.00220716,0.00000000,0,0.00000000,0,5478,247,0.00714886
1627643493.93558502,0.03270369,11404,0.00197358,0.00000000,0,0.00000000,0,5511,201,0.00729120
1627643494.03559923,0.00923693,11250,0.00049852,0.00000000,0,0.00000000,0,5535,240,0.01609832
1627643494.13578367,0.01229810,11151,0.00049708,0.00000000,0,0.00000000,0,5542,145,0.01257481
1627643494.23642254,0.02460330,10961,0.00121382,0.00000000,0,0.00000000,0,5558,136,0.00952147
1627643494.33685541,0.02752217,11083,0.00220894,0.00000000,0,0.00000000,0,5521,159,0.01357857
1627643494.43637276,0.02025408,10874,0.00128243,0.00000000,0,0.00000000,0,5517,160,0.01193381
1627643494.53662825,0.02776996,10995,0.00242887,0.00000000,0,0.00000000,0,5539,182,0.00586298
1627643494.63676095,0.03653251,11076,0.00302407,0.00000000,0,0.00000000,0,5570,175,0.01494572
1627643494.73710370,0.02198455,11052,0.00096317,0.00000000,0,0.00000000,0,5603,182,0.02667242
1627643494.83715367,0.00827529,11002,0.00061288,0.00000000,0,0.00000000,0,5563,168,0.01328923
1627643494.93746328,0.02390873,10995,0.00164470,0.00000000,0,0.00000000,0,5594,153,0.01248828
1627643495.03788733,0.02626665,10966,0.00172695,0.00000000,0,0.00000000,0,5625,198,0.01206950
1627643495.13792753,0.01435070,10926,0.00135997,0.00000000,0,0.00000000,0,5605,171,0.01822795
1627643495.23808146,0.02896074,10836,0.00115610,0.00000000,0,0.00000000,0,5610,115,0.00553451
1627643495.33820915,0.03296134,10938,0.00377060,0.00000000,0,0.00000000,0,5525,200,0.00595315
1627643495.43833590,0.02951060,10946,0.00278598,0.00000000,0,0.00000000,0,5536,272,0.00991099
1627643495.53957725,0.00857164,10902,0.00075383,0.00000000,0,0.00000000,0,5594,350,0.01227875
1627643495.63887691,0.01141875,10820,0.00228631,0.00000000,0,0.00000000,0,5649,237,0.01358979
1627643495.73898602,0.02561345,10878,0.00349580,0.00000000,0,0.00000000,0,5659,354,0.02021892
1627643495.83911347,0.02431592,10941,0.00190744,0.00000000,0,0.00000000,0,5690,335,0.00905885
1627643495.93930817,0.01269769,10821,0.00089371,0.00000000,0,0.00000000,0,5729,279,0.00720223
1627643496.03952098,0.03672069,10813,0.00199958,0.00000000,0,0.00000000,0,5779,270,0.00690103
1627643496.13994837,0.02732282,10873,0.00266202,0.00000000,0,0.00000000,0,5786,230,0.01076990
1627643496.23989344,0.01435561,10841,0.00163846,0.00000000,0,0.00000000,0,5762,279,0.01626663
1627643496.34036446,0.01190520,10895,0.00242193,0.00000000,0,0.00000000,0,5818,308,0.00823724
1627643496.44153976,0.01339361,10870,0.00208461,0.00000000,0,0.00000000,0,5851,330,0.00972117
1627643496.54057884,0.01298289,10917,0.00225573,0.00000000,0,0.00000000,0,5895,374,0.01608712
1627643496.64164209,0.03087900,10945,0.00271094,0.00000000,0,0.00000000,0,5932,358,0.00563021
1627643496.74087429,0.04201119,10886,0.00450634,0.00000000,0,0.00000000,0,5953,255,0.00784226
1627643496.84107733,0.01814304,10951,0.00204333,0.00000000,0,0.00000000,0,5934,293,0.00921610
